,Name,fp,fp_per_game
158,Ryan Pressly,72.33,2.3332258064516127
159,Trevor Bauer,132.25,11.020833333333334
160,Blaine Hardy,61.0,7.625
161,Trevor Cahill,62.91,7.86375
162,Brad Peacock,54.66,2.4845454545454544
163,Trevor Hildenberger,73.0,2.8076923076923075
164,Adam Warren,13.91,1.5455555555555556
165,Dylan Covey,28.83,7.2075
166,Charlie Morton,173.5,14.458333333333334
167,Edwin Diaz,210.91,6.5909375
168,Jose Alvarado,115.08,4.6032
169,Tony Sipp,14.91,0.931875
170,Miguel Castro,31.159999999999997,1.4163636363636363
171,Blake Parker,77.58,2.7707142857142855
172,Carl Edwards Jr.,125.5,5.02
173,Josh Lucas,11.33,2.8325
174,Justin Anderson,103.66,5.7588888888888885
175,Daniel Mengden,115.32999999999998,9.610833333333332
176,Matt Strahm,4.329999999999998,0.48111111111111093
177,Roberto Osuna,87.83,5.855333333333333
178,Adam Cimber,82.66,3.3064
179,Nate Jones,88.08,4.003636363636364
180,Joe Kelly,159.32999999999998,5.901111111111111
181,Patrick Corbin,165.57999999999998,13.798333333333332
182,Vidal Nuno,11.5,2.875
183,Chris Sale,166.0,12.76923076923077
184,Addison Reed,64.41,2.3003571428571425
185,Peter Moylan,17.41,0.6696153846153846
186,Nick Wittgren,53.91,2.9949999999999997
187,Noah Syndergaard,126.41,11.491818181818182
188,Bud Norris,158.82999999999998,6.108846153846153
189,Warwick Saupold,50.58,2.199130434782609
190,Seung Hwan Oh,90.25,3.4711538461538463
191,James Paxton,162.91,13.575833333333334
192,Ryan Tepera,135.16,4.660689655172414
193,Kevin McCarthy,65.41,2.973181818181818
194,Yusmeiro Petit,78.5,2.8035714285714284
195,Shohei Ohtani,99.83,12.47875
196,Kyle Hendricks,84.16,7.65090909090909
197,Stephen Strasburg,141.66,11.805
198,Aaron Loup,41.83,1.6088461538461538
199,Joey Lucchesi,75.08,8.342222222222222
200,Matt Boyd,69.25,6.295454545454546
201,Garrett Richards,94.0,7.833333333333333
202,Aaron Bummer,22.08,0.8492307692307691
203,Tyler Skaggs,97.5,8.125
204,Robert Gsellman,119.41,4.422592592592593
205,Tyson Ross,114.16,9.513333333333334
